const,your_rating,date_rated,title,title_type,runtime,year,genres,total_seasons,poster
tt0898266,8,2024-09-27,The Big Bang Theory,TV Series,22,2020,"Comedy, Romance",,https://m.media-amazon.com/images/M/MV5BZjgzY2QyNzItNDhhYi00ZWIwLWFjN2UtZDJkN2MxYWNjMmJjXkEyXkFqcGc@._V1_SX300.jpg
tt0458339,7,2024-09-27,Captain America: The First Avenger,Movie,124,2011,"Action, Adventure, Sci-Fi",,https://m.media-amazon.com/images/M/MV5BNzUyM2YyY2MtNzNlMS00MWU5LTgxNjAtNzZlNmI2NjU2NDZlXkEyXkFqcGc@._V1_SX300.jpg
tt1285016,10,2024-09-27,The Social Network,Movie,120,2010,"Drama, Biography",,https://m.media-amazon.com/images/M/MV5BMjlkNTE5ZTUtNGEwNy00MGVhLThmZjMtZjU1NDE5Zjk1NDZkXkEyXkFqcGc@._V1_SX300.jpg
tt4154796,10,2024-09-27,Avengers: Endgame,Movie,181,2019,"Action, Sci-Fi, Adventure, Drama",,https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_SX300.jpg
tt1475582,10,2024-09-27,Sherlock,TV Series,90,2010–2017,"Crime, Mystery, Drama, Thriller",,https://m.media-amazon.com/images/M/MV5BNTQzNGZjNDEtOTMwYi00MzFjLWE2ZTYtYzYxYzMwMjZkZDc5XkEyXkFqcGc@._V1_SX300.jpg
tt1843866,7,2024-09-27,Captain America: The Winter Soldier,Movie,136,2014,"Action, Adventure, Sci-Fi, Thriller",,https://m.media-amazon.com/images/M/MV5BNWY1NjFmNDItZDhmOC00NjI1LWE0ZDItMTM0MjBjZThiOTQ2XkEyXkFqcGc@._V1_SX300.jpg
tt1515091,10,2024-09-27,Sherlock Holmes: A Game of Shadows,Movie,129,2011,"Mystery, Action, Adventure",,https://m.media-amazon.com/images/M/MV5BMTQwMzQ5Njk1MF5BMl5BanBnXkFtZTcwNjIxNzIxNw@@._V1_SX300.jpg
tt0903747,10,2024-09-27,Breaking Bad,TV Series,45,2008–2013,"Drama, Crime, Thriller",,https://m.media-amazon.com/images/M/MV5BMzU5ZGYzNmQtMTdhYy00OGRiLTg0NmQtYjVjNzliZTg1ZGE4XkEyXkFqcGc@._V1_SX300.jpg
tt0499549,7,2024-03-04,Avatar,Movie,162,2009,"Sci-Fi, Action, Adventure, Fantasy",,https://m.media-amazon.com/images/M/MV5BMDEzMmQwZjctZWU2My00MWNlLWE0NjItMDJlYTRlNGJiZjcyXkEyXkFqcGc@._V1_SX300.jpg
tt1375670,10,2024-03-04,Gente Grande,Movie,102,2010,Comedy,,https://m.media-amazon.com/images/M/MV5BMjA0ODYwNzU5Nl5BMl5BanBnXkFtZTcwNTI1MTgxMw@@._V1_SX300.jpg
tt0266543,10,2022-09-08,Procurando nemo,Movie,100,2003,"Animation, Family, Comedy, Adventure",,https://m.media-amazon.com/images/M/MV5BMTc5NjExNTA5OV5BMl5BanBnXkFtZTYwMTQ0ODY2._V1_SX300.jpg
tt7286456,10,2022-07-22,Joker,Movie,122,2019,"Crime, Drama, Thriller",,https://m.media-amazon.com/images/M/MV5BNzY3OWQ5NDktNWQ2OC00ZjdlLThkMmItMDhhNDk3NTFiZGU4XkEyXkFqcGc@._V1_SX300.jpg
tt1345836,10,2022-09-08,The Dark Knight Rises,Movie,164,2012,"Action, Drama, Thriller",,https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg
tt0816711,9,2024-03-01,World War Z,Movie,116,2013,"Action, Adventure, Horror, Sci-Fi",,https://m.media-amazon.com/images/M/MV5BODg3ZTM2YWQtZDE5Ny00NGNiLTkzYjgtYWVlYjNkOTg5NDI1XkEyXkFqcGc@._V1_SX300.jpg
tt0892769,10,2022-09-08,How to Train Your Dragon,Movie,98,2010,"Animation, Adventure, Fantasy, Family, Action",,https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_SX300.jpg
tt0137523,9,2022-07-30,Fight Club,Movie,139,1999,Drama,,https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_SX300.jpg
tt0848228,7,2024-09-27,The Avengers,Movie,143,2012,"Action, Sci-Fi",,https://m.media-amazon.com/images/M/MV5BNGE0YTVjNzUtNzJjOS00NGNlLTgxMzctZTY4YTE1Y2Y1ZTU4XkEyXkFqcGc@._V1_SX300.jpg
tt2442560,9,2024-09-27,Peaky Blinders,TV Series,60,2013–2022,"Drama, Crime",,https://m.media-amazon.com/images/M/MV5BM2ZiNThlNzItNmY3Ny00NjA2LWJlMjItNTk1NDI3MDMyMTk4XkEyXkFqcGc@._V1_SX300.jpg
tt3498820,7,2024-09-27,Captain America: Civil War,Movie,147,2016,"Action, Sci-Fi",,https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg
